Team,Close_FF%,PP%,GSAx_60
Air Force,53.3,12.9,-0.141998964267219
Alaska,46.2,19.5,0.1233449477351916
Alaska-Anchorage,38.9,18.5,-0.6472685451408856
Arizona State,46.2,23.6,0.0540646425073457
Army,47.5,21.8,0.5959979476654694
Augustana,48.4,22.1,0.8880233690360273
Bemidji State,52.8,18.7,-0.3923076923076923
Bentley,54.0,21.9,0.1310664605873261
Boston College,58.6,27.7,0.2095291479820628
Boston University,50.7,15.4,-0.1905731119442956
Bowling Green,54.0,21.4,0.3441312147616607
Brown,42.0,8.8,-0.0050299401197604
Canisius,52.5,17.3,0.1062336301728653
Clarkson,52.3,18.9,-0.4064819654992159
Colgate,45.0,21.3,-0.0694111516414799
Colorado College,53.6,14.5,0.1995867768595041
Connecticut,50.7,21.6,0.7312707182320443
Cornell,56.6,23.5,0.1992537313432835
Dartmouth,54.8,17.4,-0.0071386079714455
Denver,56.4,18.9,0.4875187969924812
Ferris State,41.8,16.7,-0.9096366508688782
Harvard,50.0,13.3,0.0082684242061114
Holy Cross,52.9,15.4,-0.2710580912863071
Lake Superior,44.9,20.8,0.0922111866178776
Lindenwood,48.3,19.6,-0.1162790697674419
Long Island,48.8,23.9,-0.3251247920133111
Maine,55.9,18.9,-0.263884430176565
Mass.-Lowell,50.0,18.6,-0.2472075869336143
Massachusetts,46.9,19.0,0.6788857938718663
Mercyhurst,33.6,11.0,-0.2384937238493724
Merrimack,46.1,23.4,0.324201407688143
Miami,47.6,12.1,0.0836193447737909
Michigan,52.7,30.4,0.4981837052413077
Michigan State,59.1,27.0,0.7230598669623061
Michigan Tech,52.0,21.1,0.1941434846266471
Minnesota,42.6,29.5,-0.3101558301988178
Minnesota State,54.6,21.3,0.4234020618556701
Minnesota-Duluth,53.7,31.4,-0.0433246753246753
New Hampshire,51.5,16.1,-0.1147651006711409
Niagara,50.2,14.3,-0.2501302761855133
North Dakota,56.8,27.6,-0.0043749999999999
Northeastern,46.5,20.9,0.7624932831810854
Northern Michigan,40.6,14.0,0.2992101105845181
Notre Dame,44.5,28.6,-0.5862499999999999
Ohio State,54.0,23.1,-0.7805663520266518
Omaha,45.6,22.5,0.0069327731092437
Penn State,52.0,27.5,0.5239202657807308
Princeton,53.1,19.5,-0.2646848989298454
Providence,56.3,22.4,0.3399999999999999
Quinnipiac,60.9,25.4,0.0338851022395326
RIT,49.4,11.3,0.12625
Robert Morris,47.7,14.3,0.1521875
RPI,44.8,18.8,-0.2678908709338929
Sacred Heart,47.4,20.7,0.4387130254281266
St. Cloud State,47.8,24.8,-0.1750741839762611
St. Lawrence,41.9,14.5,-0.581378221988427
St. Thomas,53.9,21.0,-0.2464730290456431
Stonehill,47.7,15.5,-0.4946493506493506
Union,57.5,23.4,-0.0663551401869158
Vermont,48.0,12.5,-0.5166576234400434
Western Michigan,56.8,20.5,0.2029136316337148
Wisconsin,56.1,28.4,-0.384375
Yale,43.6,12.6,-0.4679494888755262
